condition,molecule,mean,sem
1_1,(S)-Malate,0.5967131881465596,0.003572385823076711
1_1,3-Phospho-D-glycerate,0.8075124418783843,0.04625949194008407
1_1,6-Phosphogluconic acid,1.6842773081090454,0.07465059959857866
1_1,Biotin,0.6018796841251992,0.012161942496435525
1_1,Butyrate,0.34613995503868394,0.10970870422839697
1_1,Citrate,0.7045087682162987,0.03083454114620277
1_1,D-Fructose 6-phosphate,1.5916189672229433,0.06404144420640188
1_1,D-glucose,0.9274436928240728,0.06837622799983958
1_1,Glucose_Na,0.6273049649553278,0.03055027163125623
1_1,Glucose_Na_b,0.6793481787900071,0.02259706699938266
1_1,Isocitrate,0.7268743164375504,0.03368284259669411
1_1,L-Arginine,0.6881746441351478,0.10878497259238067
1_1,L-Histidine,0.9728907150952182,0.20230742375744837
1_1,L-Lactate,0.3959406981173607,0.11317191192236481
1_1,L-Phenylalanine,1.9737576408676532,0.2571622705534794
1_1,L-Threonine,1.5680973923284087,0.07279480442291468
1_1,L-Tryptophan,0.7085324848778043,0.02882755392578252
1_1,L-Valine,1.037429479051053,0.16906584826221024
1_1,"R-2,3-Dihydroxy-isovalerate",1.7315211098144874,0.08140718390104157
1_1,"R-2,3-dihydroxy-3-methylpentanoate",1.2948326932567864,0.01546197315430664
1_1,Succinate,0.42925764636739155,0.021240033296993546
1_2,(S)-Malate,1.6267808459554043,0.11480161674227342
1_2,3-Phospho-D-glycerate,1.2272129520705037,0.07859484500538169
1_2,6-Phosphogluconic acid,1.490089015032622,0.08476964069317047
1_2,Biotin,0.7430665566018549,0.08488649400403017
1_2,Butyrate,0.57911201794803,0.13701229846271135
1_2,Citrate,1.1453013994166246,0.08147301187495976
1_2,D-Fructose 6-phosphate,1.5835875429955502,0.12548310541175808
1_2,D-glucose,1.8920708538496707,0.10666999709370155
1_2,Glucose_Na,0.6544013198424663,0.07683328029670548
1_2,Glucose_Na_b,0.6864314226823108,0.06102874190996398
1_2,Isocitrate,1.1047729862683593,0.04258264468074603
1_2,L-Arginine,2.2905322031517645,0.23181238325847878
1_2,L-Histidine,1.867451408551544,0.2457602034900752
1_2,L-Lactate,0.710999340407621,0.14216383979748967
1_2,L-Phenylalanine,1.5546433953433176,0.057923084889400116
1_2,L-Threonine,1.396309228590356,0.19597705830389842
1_2,L-Tryptophan,0.6960129990731997,0.04753160070631455
1_2,L-Valine,1.3405131155775878,0.1976775203962911
1_2,"R-2,3-Dihydroxy-isovalerate",1.6171931649185465,0.12846393923351954
1_2,"R-2,3-dihydroxy-3-methylpentanoate",1.8986459020523272,0.18027211550007413
1_2,Succinate,1.0285779514634825,0.11782855269599132
1_3,(S)-Malate,1.8723349035019439,0.09960905738771644
1_3,3-Phospho-D-glycerate,1.2339436550324763,0.09094109029217821
1_3,6-Phosphogluconic acid,1.2424726713563181,0.09282680258368656
1_3,Biotin,0.6327414786509983,0.05931898697452318
1_3,Butyrate,0.8313318439994396,0.21369056181511792
