condition,molecule,mean,sem
1_1,IturinA,1.4511518819778153,0.17013799979832903
1_1,SurfactinB,1.8080791750352763,0.09055988518650311
1_1,SurfactinC,1.7441677074725768,0.19071248439608868
1_1,SurfactinD,1.662427322319243,0.09978596473579925
1_2,IturinA,1.3748366326394172,0.265279370422186
1_2,SurfactinB,1.1936423352102217,0.22947310958209727
1_2,SurfactinC,1.279926149902355,0.2308912401921212
1_2,SurfactinD,1.2886721787478013,0.2508626013901595
1_3,IturinA,1.3304512551630239,0.14347946600996134
1_3,SurfactinB,1.1147588966886361,0.14866957149349633
1_3,SurfactinC,1.2193746541604715,0.09625801278437789
1_3,SurfactinD,1.2573881955443191,0.13789414326412447
1_4,IturinA,1.4500083911682704,0.19591056055686476
1_4,SurfactinB,1.1856544886321139,0.19907959591396707
1_4,SurfactinC,1.3855249880153215,0.12793672885296598
1_4,SurfactinD,1.3785057530163787,0.17433376215510812
1_5,IturinA,1.4798462699545656,0.22315830518851376
1_5,SurfactinB,1.3575108192309628,0.25229844505480903
1_5,SurfactinC,1.4812312095927596,0.259969078758376
1_5,SurfactinD,1.4588073503706813,0.19765095895181323
1_6,IturinA,1.6389176326425037,0.2204850887268749
1_6,SurfactinB,1.237008392800854,0.21358581087200532
1_6,SurfactinC,1.342724248448892,0.2300401100175475
1_6,SurfactinD,1.6668003174972839,0.2315433679630368
1_7,IturinA,1.45883987206943,0.1773212690303814
1_7,SurfactinB,1.2003435128060267,0.17549855627146102
1_7,SurfactinC,1.4384044847451536,0.21282104460543788
1_7,SurfactinD,1.4673707277388381,0.17188219716218767
